,,,,,,,,,,2018 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,2:38:00,12,3:59:00,9,3:32:00,11,4:42:00,6,6:10:00,6,4:00:00,7,2:23:00,6,7:05:00,10,5:51:00,20,4:32:00,66,8:27:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6,2:38:00,11,6:37:00,11,10:09:00,10,14:51:00,10,21:01:00,8,25:01:00,8,27:24:00,8,34:29:00,8,40:20:00,8,44:52:00,10,53:19:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,5th Unlimited,"John DuPont
John Mark Harras
Michael Tecci
Max Hambly
William Stafford
Liam Price
TC Jason Jones
TC Joseph Bitterly",807,9:00, ,11:39:00, ,15:26:00, ,19:04:00, ,23:59:00, ,6:10:00, ,10:17:00, ,12:45:00, ,20:20:00, ,2:09:00, ,6:15:00, ,14:42:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8,2:39:00,6,3:47:00,12,3:38:00,16,4:55:00,7,6:11:00,8,4:07:00,9,2:28:00,9,7:35:00,9,5:49:00,11,4:06:00,65,8:27:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8,2:39:00,7,6:26:00,8,10:04:00,11,14:59:00,11,21:10:00,11,25:17:00,10,27:45:00,10,35:20:00,9,41:09:00,9,45:15:00,11,53:42:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1st USCA C-1 Man,"Gabe Haarsma
TC David Finley
TC Helena Finley",38,9:00, ,11:53:00, ,15:57:00, ,19:45:00, ,0:39:00, ,7:14:00, ,11:43:00, ,14:22:00, ,22:15:00, ,4:32:00, ,8:09:00, ,15:01:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,19,2:53:00,14,4:04:00,15,3:48:00,15,4:54:00,14,6:35:00,13,4:29:00,13,2:39:00,15,7:53:00,15,6:17:00,5,3:37:00,51,6:52:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,19,2:53:00,14,6:57:00,15,10:45:00,15,15:39:00,14,22:14:00,14,26:43:00,14,29:22:00,13,37:15:00,13,43:32:00,13,47:09:00,12,54:01:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6th Unlimited,"Ed Jones
Brenda Jones
Brian Jones
TC Tonya Jones
TC Amanda Adcock",1959,9:00, ,11:41:00, ,15:32:00, ,19:04:00, ,23:38:00, ,5:56:00, ,10:12:00, ,12:48:00, ,20:29:00, ,3:06:00, ,7:27:00, ,15:51:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10,2:41:00,8,3:51:00,9,3:32:00,9,4:34:00,9,6:18:00,11,4:16:00,11,2:36:00,12,7:41:00,17,6:37:00,17,4:21:00,64,8:24:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,10,2:41:00,9,6:32:00,8,10:04:00,9,14:38:00,8,20:56:00,9,25:12:00,11,27:48:00,11,35:29:00,11,42:06:00,12,46:27:00,13,54:51:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1st USCA C-2,"Veronica Sosa
John Bugge
TC Jenifer Bugge
TC Amanda Hiliker",239,9:00, ,12:03:00, ,16:20:00, ,20:14:00, ,1:27:00, ,8:46:00, ,13:42:00, ,16:30:00, ,0:45:00, ,7:08:00, ,10:39:00, ,16:32:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,28,3:03:00,26,4:17:00,20,3:54:00,21,5:13:00,23,7:19:00,22,4:56:00,18,2:48:00,16,8:15:00,16,6:23:00,4,3:31:00,19,5:53:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,28,3:03:00,27,7:20:00,24,11:14:00,23,16:27:00,22,23:46:00,21,28:42:00,21,31:30:00,17,39:45:00,17,46:08:00,16,49:39:00,14,55:32:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,7th Unlimited,"Cecili Bugge
Heather Harrison
Jake Aziz
TC Kat Wilson
TC Donna Bugge",333,9:00, ,11:52:00, ,16:03:00, ,19:53:00, ,0:50:00, ,7:23:00, ,11:52:00, ,14:34:00, ,22:25:00, ,4:36:00, ,8:30:00, ,16:42:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18,2:52:00,18,4:11:00,16,3:50:00,17,4:57:00,13,6:33:00,13,4:29:00,15,2:42:00,13,7:51:00,12,6:11:00,10,3:54:00,60,8:12:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,18,2:52:00,18,7:03:00,16,10:53:00,17,15:50:00,16,22:23:00,16,26:52:00,16,29:34:00,14,37:25:00,14,43:36:00,14,47:30:00,15,55:42:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3rd Solo Unlimited Man,"Chris Champion
TC AJ Champion
TC Kelly Stone",111,9:00, ,11:48:00, ,15:55:00, ,19:36:00, ,0:26:00, ,6:57:00, ,11:19:00, ,13:57:00, ,21:32:00, ,3:20:00, ,7:00:00, ,16:43:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,13,2:48:00,15,4:07:00,13,3:41:00,12,4:50:00,11,6:31:00,12,4:22:00,12,2:38:00,10,7:35:00,8,5:48:00,7,3:40:00,76,9:43:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,13,2:48:00,13,6:55:00,13,10:36:00,13,15:26:00,13,21:57:00,13,26:19:00,13,28:57:00,12,36:32:00,12,42:20:00,11,46:00:00,16,55:43:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"2nd Mixed Tandem Unlimited
Adult Child","Gaston Jones
Lillian Jones
TC Vance Jones
TC David Janes",4,9:00, ,11:58:00, ,16:14:00, ,20:16:00, ,1:44:00, ,9:03:00, ,14:00:00, ,16:58:00, ,1:21:00, ,8:25:00, ,12:57:00, ,18:42:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,24,2:58:00,24,4:16:00,26,4:02:00,24,5:28:00,23,7:19:00,23,4:57:00,20,2:58:00,17,8:23:00,24,7:04:00,19,4:32:00,15,5:45:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,24,2:58:00,23,7:14:00,26,11:16:00,25,16:44:00,24,24:03:00,23,29:00:00,23,31:58:00,18,40:21:00,18,47:25:00,19,51:57:00,17,57:42:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1st Solo Unlimited Woman,"Morgan Kohut
TC Marilyn Hutton
TC Trevor Hutton",527,9:00, ,12:12:00, ,16:24:00, ,20:21:00, ,1:53:00, ,9:04:00, ,13:57:00, ,16:57:00, ,1:21:00, ,8:25:00, ,12:56:00, ,18:51:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,35,3:12:00,19,4:12:00,24,3:57:00,30,5:32:00,20,7:11:00,21,4:53:00,22,3:00:00,18,8:24:00,24,7:04:00,18,4:31:00,20,5:55:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,35,3:12:00,28,7:24:00,28,11:21:00,27,16:53:00,25,24:04:00,22,28:57:00,22,31:57:00,18,40:21:00,18,47:25:00,18,51:56:00,18,57:51:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,8th Unlimited,"Andrew Noonan
Cooper Knight
David Earnest
TC Christine Hewlett
TC Daphne Noonan",2424,9:00, ,12:03:00, ,16:30:00, ,20:43:00, ,2:12:00, ,9:33:00, ,14:44:00, ,17:52:00, ,3:32:00, ,10:42:00, ,15:20:00, ,20:48:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,28,3:03:00,29,4:27:00,30,4:13:00,27,5:29:00,25,7:21:00,27,5:11:00,27,3:08:00,21,9:40:00,27,7:10:00,22,4:38:00,13,5:28:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,28,3:03:00,30,7:30:00,30,11:43:00,28,17:12:00,26,24:33:00,25,29:44:00,25,32:52:00,20,42:32:00,22,49:42:00,22,54:20:00,19,59:48:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3rd Mixed Tandem Unlimited,"Myla Weber
Jim Weber
TC Lauren Sager
TC Noel Shaver",30,9:00, ,12:06:00, ,16:27:00, ,20:24:00, ,2:42:00, ,10:26:00, ,15:25:00, ,18:33:00, ,3:35:00, ,9:47:00, ,14:27:00, ,21:03:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,31,3:06:00,28,4:21:00,23,3:57:00,38,6:18:00,28,7:44:00,24,4:59:00,27,3:08:00,20,9:02:00,13,6:12:00,23,4:40:00,41,6:36:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,31,3:06:00,29,7:27:00,29,11:24:00,32,17:42:00,29,25:26:00,26,30:25:00,26,33:33:00,21,42:35:00,20,48:47:00,20,53:27:00,20,60:03:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,9th Unlimited,"John Moore
Mike Dey (Out at Victoria)
Mike Smith
TC Larry St Claire
TC Sonja St Claire ",963,9:00, ,11:50:00, ,16:05:00, ,20:03:00, ,1:18:00, ,8:29:00, ,12:58:00, ,15:42:00, ,3:46:00, ,10:30:00, ,15:03:00, ,21:29:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14,2:50:00,21,4:15:00,25,3:58:00,22,5:15:00,19,7:11:00,13,4:29:00,17,2:44:00,37,12:04:00,18,6:44:00,21,4:33:00,37,6:26:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,14,2:50:00,19,7:05:00,20,11:03:00,21,16:18:00,20,23:29:00,20,27:58:00,19,30:42:00,22,42:46:00,21,49:30:00,21,54:03:00,21,60:29:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2nd USCA C-2,"Andrew Soles
Andrew Stephens
TC Myles Weynand
TC Jason Herd",314,9:00, ,11:54:00, ,16:06:00, ,19:56:00, ,0:47:00, ,7:33:00, ,12:14:00, ,15:11:00, ,23:40:00, ,7:07:00, ,11:22:00, ,21:49:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,20,2:54:00,20,4:12:00,17,3:50:00,13,4:51:00,16,6:46:00,20,4:41:00,19,2:57:00,19,8:29:00,30,7:27:00,14,4:15:00,79,10:27:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,20,2:54:00,20,7:06:00,18,10:56:00,16,15:47:00,17,22:33:00,17,27:14:00,17,30:11:00,16,38:40:00,16,46:07:00,17,50:22:00,22,60:49:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1st Novice,"Luke Zolnierowski
Alex Leonard
TC Edi Hirshenbaum",797,9:00, ,12:11:00, ,16:44:00, ,21:05:00, ,2:52:00, ,11:27:00, ,16:56:00, ,20:16:00, ,7:53:00, ,14:59:00, ,19:20:00, ,2:33:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,33,3:11:00,38,4:33:00,35,4:21:00,31,5:47:00,39,8:35:00,30,5:29:00,33,3:20:00,33,11:37:00,26,7:06:00,16,4:21:00,54,7:13:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,33,3:11:00,35,7:44:00,35,12:05:00,34,17:52:00,33,26:27:00,31,31:56:00,31,35:16:00,25,46:53:00,25,53:59:00,24,58:20:00,23,65:33:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,10th Unlimited,"Ginsie Stauss (Out at Victoria)
Joe Geisinger
TC Curt Slaten
TC Mike Drost",731,9:00, ,11:57:00, ,16:12:00, ,20:07:00, ,1:16:00, ,8:32:00, ,14:00:00, ,17:01:00, ,9:32:00, ,16:21:00, ,21:48:00, ,6:15:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,23,2:57:00,22,4:15:00,22,3:55:00,20,5:09:00,22,7:16:00,28,5:28:00,23,3:01:00,82,16:31:00,19,6:49:00,38,5:27:00,66,8:27:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,23,2:57:00,21,7:12:00,21,11:07:00,20,16:16:00,21,23:32:00,24,29:00:00,24,32:01:00,30,48:32:00,26,55:21:00,25,60:48:00,24,69:15:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,3rd USCA C-2,"Mike Howard
Paul Pape
TC Jennifer Keirnan-Pape
TC Amber Howard",1973,9:00, ,12:24:00, ,17:19:00, ,22:09:00, ,4:29:00, ,14:03:00, ,19:50:00, ,23:18:00, ,12:19:00, ,19:20:00, ,0:46:00, ,6:45:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,47,3:24:00,54,4:55:00,52,4:50:00,41,6:20:00,56,9:34:00,35,5:47:00,37,3:28:00,46,13:01:00,22,7:01:00,37,5:26:00,23,5:59:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,47,3:24:00,52,8:19:00,51,13:09:00,48,19:29:00,48,29:03:00,43,34:50:00,39,38:18:00,36,51:19:00,34,58:20:00,26,63:46:00,25,69:45:00,,,,,,,,,,,,,,,,,,,,,,,
